Seoul,서울특별시,서울
Busan,부산광역시,부산
Incheon,인천광역시,인천
Daegu,대구광역시,대구
Daejeon,대전광역시,대전
Gwangju,광주광역시,광주
Suwon,수원시,경기
Ulsan,울산광역시,울산
Changwon,창원시,경상남도
Goyang,고양시,경기
Yongin,용인시,경기
Seongnam,성남시,경기
Bucheon,부천시,경기
Cheongju,청주시,충청북도
Ansan,안산시,경기
Namyangju,남양주시,경기
Jeonju,전주시,전라북도
Hwaseong,화성시,경기
Cheonan,천안시,충청남도
Anyang,안양시,경기
Gimhae,김해시,경상남도
Pohang,포항시,경상북도
Pyeongtaek,평택시,경기
Jeju,제주시,제주
Uijeongbu,의정부시,경기
Paju,파주시,경기
Gumi,구미시,경상북도
Siheung,시흥시,경기
Gimpo,김포시,경기
Jinju,진주시,경상남도
Gwangmyeong,광명시,경기
Wonju,원주시,강원도
Gwangju,광주시,경기
Yangsan,양산시,경상남도
Asan,아산시,충청남도
Iksan,익산시,전라북도
Yeosu,여수시,전라남도
Gunpo,군포시,경기
Chuncheon,춘천시,강원도
Suncheon,순천시,전라남도
Gunsan,군산시,전라북도
Gyeongju,경주시,경상남도
Gyeongsan,경산시,경상남도
Geoje,거제시,경상남도
Sejong,세종특별자치시,세종
Mokpo,목포시,전라남도
Gangneung,강릉시,강원도
Hanam,하남시,경기
Icheon,이천시,경기
Osan,오산시,경기
Chungju,충주시,충청북도
Yangju,양주시,경기
Guri,구리시,경기
Anseong,안성시,경기
Seogwipo,서귀포시,제주
Seosan,서산시,충청남도
Andong,안동시,경상남도
Dangjin,당진시,충청남도
Uiwang,의왕시,경기
Pocheon,포천시,경기
Gwangyang,광양시,전라남도
Gimcheon,김천시,경상남도
Tongyeong,통영시,경상남도
Jecheon,제천시,충청북도
Nonsan,논산시,충청남도
Jeongeup,정읍시,전라북도
Sacheon,사천시,경상남도
Yeoju,여주시,경기
Gongju,공주시,충청남도
Yeongju,영주시,경상남도
Miryang,밀양시,경상남도
Naju,나주시,전라남도
Boryeong,보령시,충청남도
Sangju,상주시,경상남도
Yeongcheon,영천시,경상남도
Dongducheon,동두천시,경기
Donghae,동해시,강원도
Gimje,김제시,전라북도
Namwon,남원시,전라북도
Sokcho,속초시,강원도
Mungyeong,문경시,경상남도
Samcheok,삼척시,강원도
Gwacheon,과천시,경기
Taebaek,태백시,강원도
Gyeryong,계룡시,충청남도
